"id","crime_type_id","latitude","longitude","city","address","link","occurred_at"
9592670,9,39.1869132,-76.6423703,"GLEN BURNIE","ORCHARD RD/BALTIMORE ANNAPOLIS BOULEVARD","http://spotcrime.com/crimealert/9592670-ec41dacc15206d72a172836e6befbde3","Thu Apr 01 18:16:00 UTC 2010"
9592671,4,39.1553824,-76.5958816,"Anne Arundel County","200 SUMMIT AVE","http://spotcrime.com/crimealert/9592671-59b3de2857b216b454cd4a719d41149f","Thu Apr 01 18:28:00 UTC 2010"
9592672,9,39.1631982,-76.6234017,"GLEN BURNIE","7500 BALTIMORE ANNAPOLIS BOULEVARD","http://spotcrime.com/crimealert/9592672-2bd06efc31db20bd26b85f5568220d90","Thu Apr 01 18:38:00 UTC 2010"
9592674,7,39.1049632,-76.5486261,"PASADENA","MAGOTHY BRIDGE RD/COUNTRY GROVE LN","http://spotcrime.com/crimealert/9592674-326da4ca23ceaccf1303c113df9b31c2","Thu Apr 01 18:57:00 UTC 2010"
9592675,7,39.162234,-76.5167961,"PASADENA","GARDEN RD/MEADOW RD","http://spotcrime.com/crimealert/9592675-9b7bf2882e39a95901fda3da4873f583","Thu Apr 01 19:05:00 UTC 2010"
9592676,9,39.147575,-76.6190742,"GLEN BURNIE","OAKWOOD RD/ARBOR DR","http://spotcrime.com/crimealert/9592676-cdb911031dcf55be6113052b4d3c11ba","Thu Apr 01 19:06:00 UTC 2010"
9592677,9,39.0873346,-76.6989331,"ODENTON","1300 ANNAPOLIS RD","http://spotcrime.com/crimealert/9592677-6fb3d9ba31c44b5a6f15925798dcb5b2","Thu Apr 01 19:10:00 UTC 2010"
9592678,4,39.1122199,-76.8040249,"Anne Arundel County","3000 SPICE BUSH RD","http://spotcrime.com/crimealert/9592678-e6a91b9ce0211e982dfdc513eb3bb1cd","Thu Apr 01 18:35:00 UTC 2010"
9592679,7,39.2096271,-76.6351413,"Anne Arundel County","900 HAMMONDS LN","http://spotcrime.com/crimealert/9592679-f2433f6a739cd3fb2de89c490bfe24d1","Thu Apr 01 19:15:00 UTC 2010"
9592680,1,39.1087941,-76.8243694,"LAUREL","8500 BROCK BRIDGE RD","http://spotcrime.com/crimealert/9592680-6ce10ebe1473adab5975695fa994f5fc","Thu Apr 01 19:26:00 UTC 2010"
9592681,7,39.1947801,-76.6467017,"Anne Arundel County","1000 ROSEDALE AVE","http://spotcrime.com/crimealert/9592681-ac7df22c130e3b3f488bd600a847ae8d","Thu Apr 01 19:44:00 UTC 2010"
9592682,9,39.1691548,-76.6336121,"GLEN BURNIE","300 DORSEY RD","http://spotcrime.com/crimealert/9592682-0eabd4f83dface8871f19c0856e41f0f","Thu Apr 01 19:46:00 UTC 2010"
9592683,9,39.065106,-76.5052709,"Anne Arundel County","800 MAGO VISTA RD","http://spotcrime.com/crimealert/9592683-55079f8f2917794261e82566fa555ca5","Thu Apr 01 20:16:00 UTC 2010"
9592684,9,39.1155281,-76.7057141,"Anne Arundel County","RICHFIELD DR/PIONEER DR","http://spotcrime.com/crimealert/9592684-f8049b47a8e71c81bab85c747f790822","Thu Apr 01 20:14:00 UTC 2010"
9592685,7,39.2096271,-76.6351413,"Anne Arundel County","900 HAMMONDS LN","http://spotcrime.com/crimealert/9592685-6b0b663b011a9a3b19195eb9bb782d9b","Thu Apr 01 20:19:00 UTC 2010"
9592687,9,39.1175912,-76.6469176,"SEVERN","PASTURE BROOK RD/NEW CUT RD","http://spotcrime.com/crimealert/9592687-e8cbe7c60b5edeabd9716af9046f154a","Thu Apr 01 20:35:00 UTC 2010"
9592688,9,39.1381896,-76.6254146,"Anne Arundel County","7800 TALL PINES CT #L","http://spotcrime.com/crimealert/9592688-905b1cb4506e1860915278d84ebb98d2","Thu Apr 01 20:44:00 UTC 2010"
9592689,7,39.2012743,-76.6101017,"Anne Arundel County","MORRIS HILL AVE/MORRIS CT","http://spotcrime.com/crimealert/9592689-55dea85a72ad4133135fbf42dddf7931","Thu Apr 01 21:01:00 UTC 2010"
9592691,4,39.094116,-76.5463306,"Anne Arundel County","100 WYE OAK CT","http://spotcrime.com/crimealert/9592691-16adf26de6e38d4c2ffc036f3151a823","Thu Apr 01 21:16:00 UTC 2010"
9592692,9,39.1367296,-76.6857352,"SEVERN","800 REECE RD","http://spotcrime.com/crimealert/9592692-9083501ffaee99356aadaaa9f81fd538","Thu Apr 01 21:18:00 UTC 2010"
9592693,9,39.1822993,-76.6147368,"Anne Arundel County","HAMMARLEE RD/FURNACE BRANCH RD E","http://spotcrime.com/crimealert/9592693-88da717452f5dd456dd2f443fba423fa","Thu Apr 01 21:42:00 UTC 2010"
9592694,7,39.196849,-76.6168222,"Anne Arundel County","6600 SHELLY RD","http://spotcrime.com/crimealert/9592694-e2c580d2fd43aa9b0cdcb7326cbd59aa","Thu Apr 01 21:53:00 UTC 2010"
9592695,9,39.225353,-76.6087294,"BROOKLYN PARK","4900 BROOKWOOD RD","http://spotcrime.com/crimealert/9592695-6a7caa1a2ed5ae368ba48f301951caea","Thu Apr 01 21:57:00 UTC 2010"
9592697,9,39.1460239,-76.6382446,"Anne Arundel County","400 PAMELA RD #E","http://spotcrime.com/crimealert/9592697-3fe4d0c360138c4c4e744bfc4c529120","Thu Apr 01 21:54:00 UTC 2010"
9592698,9,39.0992963,-76.5656506,"Anne Arundel County","00 EARLEIGH HEIGHTS RD W","http://spotcrime.com/crimealert/9592698-21ee5dc6548e9eb3f610f5fd383d452f","Thu Apr 01 22:06:00 UTC 2010"
9592700,9,39.170564,-76.6310216,"GLEN BURNIE","BALTIMORE ANNAPOLIS BOULEVARD/8TH AVE NW","http://spotcrime.com/crimealert/9592700-448d87971a65b3b4dc2fc91e92fb71f3","Thu Apr 01 22:24:00 UTC 2010"
9592701,9,39.21772,-76.616646,"BROOKLYN PARK","5700 RITCHIE HWY S","http://spotcrime.com/crimealert/9592701-756ae25e77c9d7bfbc3aa0ddfe807ca4","Thu Apr 01 22:25:00 UTC 2010"
9592702,9,39.1422787,-76.6409683,"GLEN BURNIE","MINNERVA RD/ELIZABETH RD","http://spotcrime.com/crimealert/9592702-7d072c51e0ab1d3b6b95f19666cb2398","Thu Apr 01 22:46:00 UTC 2010"
9592703,9,39.2335153,-76.6170701,"Anne Arundel County","300 ARUNDEL RD W","http://spotcrime.com/crimealert/9592703-52c2cff5f8c871fa13f6b01804dde13a","Thu Apr 01 22:48:00 UTC 2010"
9592704,9,39.133646,-76.584738,"PASADENA","8000 JUMPERS HOLE RD","http://spotcrime.com/crimealert/9592704-e1493df3e96743e429d09f43f3ff82c0","Thu Apr 01 22:54:00 UTC 2010"
9592705,9,39.2156299,-76.6407466,"BROOKLYN PARK","0 PARK PL","http://spotcrime.com/crimealert/9592705-fb1341b2468105b03d5ed381a844fcaa","Thu Apr 01 23:05:00 UTC 2010"
9592706,9,39.1413384,-76.6262663,"Anne Arundel County","300 OAK MANOR DR #204","http://spotcrime.com/crimealert/9592706-3ad575dee1ad9d19f717fae7ad1d7a75","Thu Apr 01 22:59:00 UTC 2010"
9592709,7,39.1385167,-76.5768081,"Anne Arundel County","200 WHITAKER RD","http://spotcrime.com/crimealert/9592709-a90bfe03039085d2032e4400dc27ef32","Thu Apr 01 23:25:00 UTC 2010"
9594775,5,39.2903848,-76.6121893,"Baltimore","2800 Brendand Ave","http://spotcrime.com/crimealert/9594775-50adc8e8088fbb74774f03996764d19f","Fri Apr 02 19:00:00 UTC 2010"
9596725,5,39.3434699,-76.544006,"Baltimore","Belair Rd and White Ave","http://spotcrime.com/crimealert/9596725-dd7db14c373e83b62f2250a0c170b492","Fri Apr 02 21:04:00 UTC 2010"
9596727,5,39.3246378,-76.5733785,"Baltimore","2800 Brendan Avenue","http://spotcrime.com/crimealert/9596727-feae6a166653a0e2ed8318e475e71c80","Fri Apr 02 21:11:00 UTC 2010"
9601079,5,39.3453534,-76.6751489,"Baltimore","MANCHESTER AVE and EDGEMERE","http://spotcrime.com/crimealert/9601079-95b0bf00cfbd5b26f8f9d9eb4cab7e29","Sat Apr 03 11:00:00 UTC 2010"
9601194,9,39.324232,-76.572076,"Baltimore","3500 Belair Rd","http://spotcrime.com/crimealert/9601194-969b2a631c08d0b23461c4ba89de403e","Sat Apr 03 09:13:00 UTC 2010"
9601197,5,39.3453534,-76.6751489,"Baltimore","Manchester Ave and Edgemere","http://spotcrime.com/crimealert/9601197-941b8b2d6d1949be8ba0135c11abdc82","Sat Apr 03 11:24:00 UTC 2010"
9601225,7,39.0895303,-76.5491504,"SEVERNA PARK","BALTIMORE ANNAPOLIS BOULEVARD/TARKS LN","http://spotcrime.com/crimealert/9601225-b626cc8fb0134fe0cd8a470593648733","Thu Apr 01 21:38:00 UTC 2010"
9601226,7,39.1646196,-76.64665,"GLEN BURNIE","DORSEY RD/STEWART AVE","http://spotcrime.com/crimealert/9601226-2bee9ea93c18752e078c4e74697f8bb9","Thu Apr 01 21:34:00 UTC 2010"
9601228,9,39.2240481,-76.6592158,"Anne Arundel County","5100 RAYNOR AVE","http://spotcrime.com/crimealert/9601228-fff69bd826c3ac41f4bf50debd6789dd","Thu Apr 01 23:37:00 UTC 2010"
9601229,9,39.1165336,-76.7005042,"Anne Arundel County","OMALLY CT/SHILLELAGH DR","http://spotcrime.com/crimealert/9601229-1b9f2a2d3bf6a4ec940361a29402a14a","Thu Apr 01 23:47:00 UTC 2010"
9601231,9,39.1160587,-76.6152636,"Anne Arundel County","400 CHALET DR","http://spotcrime.com/crimealert/9601231-d2bd7ddaff511ec76fcdf1868a15469f","Fri Apr 02 00:03:00 UTC 2010"
9601232,9,39.1480235,-76.6287962,"Anne Arundel County","200 SAINT JAMES DR","http://spotcrime.com/crimealert/9601232-125ca17380454b0728be5b1d1be854f3","Thu Apr 01 23:23:00 UTC 2010"
9601233,9,39.1304377,-76.527201,"Anne Arundel County","LEEDS DR/WEDGEWOOD CT","http://spotcrime.com/crimealert/9601233-a3b5c5d36fe90518b4ae6af9c6299249","Fri Apr 02 00:17:00 UTC 2010"
9601234,7,39.0677554,-76.6690006,"GAMBRILLS","GAMBRILLS RD/RT175","http://spotcrime.com/crimealert/9601234-e71631e643e36e06f01fcfa152553a0b","Fri Apr 02 00:21:00 UTC 2010"
9601236,9,39.1176441,-76.6272313,"Anne Arundel County","600 MILLDAM CT","http://spotcrime.com/crimealert/9601236-c1ca400ee4b0fb8123aa3651d21874aa","Fri Apr 02 00:23:00 UTC 2010"
9601235,7,39.1460239,-76.6382446,"Anne Arundel County","400 PAMELA RD #F","http://spotcrime.com/crimealert/9601235-8aa91b8b4e656778ff60f09e5a5681b3","Fri Apr 02 00:08:00 UTC 2010"
9601237,7,39.1933999,-76.614358,"GLEN BURNIE","6700 RITCHIE HWY S","http://spotcrime.com/crimealert/9601237-98816f8a474e88a8c27c4a08387eacce","Fri Apr 02 00:39:00 UTC 2010"
9601238,9,39.1860894,-76.614576,"Anne Arundel County","00 GLEN RIDGE RD #C1","http://spotcrime.com/crimealert/9601238-921b726da46ce03949752958bebe4bf3","Fri Apr 02 00:41:00 UTC 2010"
9601239,7,39.2161312,-76.6094252,"BROOKLYN PARK","RT2 N/WALTON AVE","http://spotcrime.com/crimealert/9601239-8f690cbc3796a01ea55935689a56ad5b","Fri Apr 02 00:52:00 UTC 2010"
9601241,4,39.1560617,-76.7155416,"Anne Arundel County","7500 TEAGUE RD","http://spotcrime.com/crimealert/9601241-38d1ae5710815afdeb4b4918116d9683","Fri Apr 02 01:17:00 UTC 2010"
9601242,9,39.1381896,-76.6254146,"Anne Arundel County","7800 TALL PINES CT","http://spotcrime.com/crimealert/9601242-4dce2e6d8b7bfc4ce2ff06174ac14966","Fri Apr 02 01:17:00 UTC 2010"
9601243,7,39.1261663,-76.5895903,"PASADENA","8100 JUMPERS HOLE RD","http://spotcrime.com/crimealert/9601243-ed877eed72001d3f822890050dab3ec3","Fri Apr 02 01:31:00 UTC 2010"
9601247,7,39.194322,-76.6263353,"Anne Arundel County","PLEASANTVILLE DR/FURNACE BRANCH RD W","http://spotcrime.com/crimealert/9601247-7b609e1d0ab358169170eb22259221b6","Fri Apr 02 01:57:00 UTC 2010"
9601250,9,39.1014172,-76.8118644,"Anne Arundel County","8600 SAVANNAH RIVER RD","http://spotcrime.com/crimealert/9601250-ebc97730cff582d9032239bd99ebd8d3","Fri Apr 02 01:40:00 UTC 2010"
9601252,7,39.1491021,-76.5228926,"PASADENA","FORT SMALLWOOD RD/ELIZABETHS LANDING N","http://spotcrime.com/crimealert/9601252-d66ad50bdd7cbc1fb6e87900ccff92fc","Fri Apr 02 02:34:00 UTC 2010"
